designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2014-132,2015-01-01.0,313.0,-10.5,304,-25,322,8,1528,2015-01-01.6,0.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_00:00:00.txt
FS-2014-137,2015-01-01.0,280.7,20.4,1,-86,359,89,284,2015-01-04.2,3.2,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_00:00:00.txt
FS-2014-134,2015-01-01.0,274.7,-9.6,1,-86,359,89,1804,2015-01-04.5,3.5,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_00:00:00.txt
FS-2014-139,2015-01-01.0,239.6,4.3,238,-22,240,34,8808,2015-01-07.1,6.1,127,125,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_00:00:00.txt
FS-2014-141,2015-01-01.0,236.9,34.2,204,-34,274,42,26,2015-01-08.0,7.0,127,127,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_00:00:00.txt
FS-2014-132,2015-01-01.5,309.6,-14.1,304,-25,315,3,750,2015-01-01.4,0.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_12:00:00.txt
FS-2014-134,2015-01-01.5,280.8,-8.7,255,-18,299,5,1190,2015-01-03.6,2.6,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_12:00:00.txt
FS-2014-137,2015-01-01.5,281.9,22.8,280,21,282,23,181,2015-01-03.7,2.7,146,0,74,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_12:00:00.txt
FS-2014-139,2015-01-01.5,241.5,3.7,240,2,242,4,10029,2015-01-06.5,5.5,127,105,126,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_12:00:00.txt
FS-2015-001,2015-01-01.5,188.0,0.0,184,-1,191,1,490,2015-01-10.5,9.5,99,37,156,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.01_12:00:00.txt
FS-2014-132,2015-01-02.0,306.3,-11.3,304,-18,309,3,174,2015-01-02.1,0.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.02_00:00:00.txt
FS-2014-134,2015-01-02.0,283.6,-7.8,259,-18,299,5,1023,2015-01-03.8,1.8,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.02_00:00:00.txt
FS-2014-137,2015-01-02.0,278.1,23.5,276,21,282,28,135,2015-01-04.5,2.5,255,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2015/AR_LIST_2015.01.02_00:00:00.txt
