designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2019-001,2019-02-06.5,261.7,3.0,256,1,268,10,611,2019-02-13.2,7.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.06_12:00:00.txt
FS-2019-001,2019-02-07.0,262.2,3.3,256,1,268,10,512,2019-02-13.7,6.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.07_00:00:00.txt
FS-2019-001,2019-02-07.5,262.4,3.6,256,1,270,12,768,2019-02-13.2,6.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.07_12:00:00.txt
FS-2019-001,2019-02-08.0,262.3,4.3,256,1,272,12,806,2019-02-13.7,5.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.08_00:00:00.txt
FS-2019-001,2019-02-08.5,262.2,3.9,255,1,272,12,942,2019-02-13.2,5.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.08_12:00:00.txt
FS-2019-001,2019-02-09.0,262.1,4.1,255,1,272,12,822,2019-02-13.7,4.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.09_00:00:00.txt
FS-2019-001,2019-02-09.5,261.6,4.1,255,1,270,12,709,2019-02-13.3,4.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.09_12:00:00.txt
FS-2019-001,2019-02-10.0,261.3,4.8,256,1,270,12,546,2019-02-13.8,3.8,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.10_00:00:00.txt
FS-2019-001,2019-02-10.5,260.4,4.8,256,1,268,12,369,2019-02-13.4,3.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.10_12:00:00.txt
FS-2019-001,2019-02-11.0,259.7,5.0,256,2,268,12,228,2019-02-13.9,2.9,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.11_00:00:00.txt
FS-2019-001,2019-02-11.5,259.8,4.9,258,3,260,8,49,2019-02-13.4,2.4,12,226,226,http://jsoc.stanford.edu/data/farside/AR_Lists/2019/AR_LIST_2019.02.11_12:00:00.txt
