designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2013-058,2014-01-01.0,89.6,-9.0,73,-15,99,-1,1755,2014-01-01.7,0.7,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.01_00:00:00.txt
FS-2013-059,2014-01-01.0,11.1,-14.8,1,-20,24,-8,860,2014-01-07.6,6.6,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.01_00:00:00.txt
FS-2013-058,2014-01-01.5,85.3,-10.0,71,-16,92,-1,1137,2014-01-01.5,0.5,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.01_12:00:00.txt
FS-2014-001,2014-01-01.5,33.8,16.1,28,13,40,23,441,2014-01-05.5,4.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.01_12:00:00.txt
FS-2013-059,2014-01-01.5,5.2,-14.7,1,-20,359,-6,1398,2014-01-07.6,6.6,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.01_12:00:00.txt
FS-2013-058,2014-01-02.0,78.0,-12.7,1,-86,359,89,445,2014-01-02.6,0.6,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_00:00:00.txt
FS-2014-001,2014-01-02.0,34.0,16.2,28,13,40,23,340,2014-01-06.0,4.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_00:00:00.txt
FS-2013-059,2014-01-02.0,4.2,-13.7,1,-18,359,-4,990,2014-01-08.1,6.1,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_00:00:00.txt
FS-2013-058,2014-01-02.5,73.6,-15.3,69,-18,78,-12,223,2014-01-02.4,0.4,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_12:00:00.txt
FS-2014-001,2014-01-02.5,33.8,16.1,28,13,40,23,364,2014-01-05.5,3.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_12:00:00.txt
FS-2013-059,2014-01-02.5,4.2,-13.2,1,-18,359,-1,1170,2014-01-07.6,5.6,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2014/AR_LIST_2014.01.02_12:00:00.txt
