designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2021-001,2021-01-13.5,334.1,-9.2,333,-10,335,-8,594,2021-01-16.8,3.8,2,249,249,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.01.13_12:00:00.txt
FS-2021-001,2021-01-14.0,334.9,-9.8,333,-10,335,-8,378,2021-01-17.2,3.2,2,249,249,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.01.14_00:00:00.txt
FS-2021-001,2021-01-14.5,333.9,-9.0,327,-10,334,-8,443,2021-01-16.8,2.8,14,219,219,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.01.14_12:00:00.txt
FS-2021-001,2021-01-15.0,335.3,-9.5,1,-84,359,89,100,2021-01-17.2,2.2,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.01.15_00:00:00.txt
FS-2021-001,2021-01-15.5,330.9,-5.1,329,-6,333,-3,52,2021-01-17.1,2.1,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.01.15_12:00:00.txt
FS-2021-001,2021-05-10.0,187.2,22.5,181,20,194,28,421,2021-05-18.0,8.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.10_00:00:00.txt
FS-2021-001,2021-05-10.5,188.2,23.2,181,20,194,30,584,2021-05-17.4,7.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.10_12:00:00.txt
FS-2021-001,2021-05-11.0,187.9,23.2,181,20,195,30,617,2021-05-17.9,6.9,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.11_00:00:00.txt
FS-2021-001,2021-05-11.5,189.4,22.0,181,16,198,30,969,2021-05-17.2,6.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.11_12:00:00.txt
FS-2021-001,2021-05-12.0,188.6,21.8,181,16,198,30,998,2021-05-17.8,5.8,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.12_00:00:00.txt
FS-2021-001,2021-05-12.5,189.5,21.4,181,16,200,30,1058,2021-05-17.2,5.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.12_12:00:00.txt
FS-2021-001,2021-05-13.0,189.5,21.0,181,16,200,30,998,2021-05-17.7,4.7,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.13_00:00:00.txt
FS-2021-001,2021-05-13.5,190.0,20.6,181,14,200,30,1019,2021-05-17.2,4.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.13_12:00:00.txt
FS-2021-001,2021-05-14.0,189.9,20.4,181,14,200,28,911,2021-05-17.6,3.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.14_00:00:00.txt
FS-2021-001,2021-05-14.5,190.2,20.4,181,14,198,28,855,2021-05-17.1,3.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.14_12:00:00.txt
FS-2021-001,2021-05-15.0,190.2,20.2,181,16,198,26,666,2021-05-17.6,2.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.15_00:00:00.txt
FS-2021-001,2021-05-15.5,190.6,20.2,183,16,198,26,562,2021-05-17.1,2.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.15_12:00:00.txt
FS-2021-001,2021-05-16.0,191.1,19.7,184,16,198,26,444,2021-05-17.5,1.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.16_00:00:00.txt
FS-2021-001,2021-05-16.5,191.4,19.6,184,16,198,24,325,2021-05-17.0,1.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.16_12:00:00.txt
FS-2021-001,2021-05-17.0,192.1,19.6,186,16,198,24,290,2021-05-17.4,0.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2021/AR_LIST_2021.05.17_00:00:00.txt
