designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2012-033,2012-09-22.0,99.8,-15.9,91,-22,112,-4,1001,2012-09-24.3,2.3,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.22_00:00:00.txt
FS-2012-032,2012-09-22.0,74.1,-15.5,57,-22,85,-8,815,2012-09-26.3,4.3,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.22_00:00:00.txt
FS-2012-033,2012-09-22.5,93.1,-15.7,75,-22,112,-4,1520,2012-09-24.3,2.3,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.22_12:00:00.txt
FS-2012-032,2012-09-22.5,67.0,-17.0,66,-22,68,-13,439,2012-09-26.3,4.3,81,31,31,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.22_12:00:00.txt
FS-2012-033,2012-09-23.0,92.0,-15.2,69,-22,112,-3,1955,2012-09-24.9,1.9,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.23_00:00:00.txt
FS-2012-032,2012-09-23.0,64.9,-17.6,55,-18,65,-14,260,2012-09-27.0,4.0,101,1,1,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.23_00:00:00.txt
FS-2012-033,2012-09-23.5,91.4,-15.2,69,-22,112,-3,1694,2012-09-24.5,1.5,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.23_12:00:00.txt
FS-2012-032,2012-09-23.5,63.4,-17.2,62,-18,64,-16,176,2012-09-26.6,3.6,93,14,14,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.23_12:00:00.txt
FS-2012-033,2012-09-24.0,90.8,-13.7,69,-20,104,-1,1740,2012-09-25.0,1.0,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.24_00:00:00.txt
FS-2012-032,2012-09-24.0,70.2,-19.0,69,-20,71,-17,34,2012-09-26.6,2.6,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.24_00:00:00.txt
FS-2012-033,2012-09-24.5,86.4,-14.8,75,-20,98,-8,874,2012-09-24.8,0.8,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.24_12:00:00.txt
FS-2012-032,2012-09-24.5,70.2,-19.0,69,-20,71,-17,37,2012-09-26.1,2.1,0,153,153,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.24_12:00:00.txt
FS-2012-033,2012-09-25.0,82.0,-13.2,75,-18,90,-8,588,2012-09-25.7,0.7,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.25_00:00:00.txt
FS-2012-033,2012-09-25.5,80.1,-12.9,75,-16,85,-8,279,2012-09-25.3,0.3,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.25_12:00:00.txt
FS-2012-033,2012-09-26.0,76.7,-14.1,75,-15,77,-10,48,2012-09-26.1,0.1,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.26_00:00:00.txt
FS-2012-034,2012-09-30.5,267.0,16.0,256,12,280,22,534,2012-10-08.1,8.1,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.09.30_12:00:00.txt
FS-2012-034,2012-10-01.0,265.5,15.3,256,12,280,22,540,2012-10-08.7,7.7,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.01_00:00:00.txt
FS-2012-034,2012-10-01.5,264.5,15.4,256,12,280,22,587,2012-10-08.3,7.3,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.01_12:00:00.txt
FS-2012-034,2012-10-02.0,262.0,14.4,256,12,270,19,419,2012-10-09.0,7.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.02_00:00:00.txt
FS-2012-034,2012-10-02.5,261.6,14.5,256,12,268,19,397,2012-10-08.5,6.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.02_12:00:00.txt
FS-2012-034,2012-10-03.0,261.6,14.0,256,12,268,19,305,2012-10-09.0,6.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.03_00:00:00.txt
FS-2012-034,2012-10-03.5,262.0,14.2,256,12,268,19,421,2012-10-08.5,5.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.03_12:00:00.txt
FS-2012-035,2012-10-03.5,187.8,14.3,181,11,194,21,556,2012-10-14.1,11.1,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.03_12:00:00.txt
FS-2012-034,2012-10-04.0,262.1,14.2,256,12,268,19,372,2012-10-09.0,5.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.04_00:00:00.txt
FS-2012-035,2012-10-04.0,187.0,14.4,181,10,195,22,850,2012-10-14.7,10.7,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.04_00:00:00.txt
FS-2012-034,2012-10-04.5,262.3,14.2,256,12,268,19,433,2012-10-08.5,4.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.04_12:00:00.txt
FS-2012-036,2012-10-04.5,223.5,19.9,211,11,237,28,800,2012-10-11.5,7.5,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.04_12:00:00.txt
FS-2012-035,2012-10-04.5,187.0,14.9,181,10,196,23,982,2012-10-14.2,10.2,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.04_12:00:00.txt
FS-2012-034,2012-10-05.0,262.7,14.6,256,12,268,21,418,2012-10-09.0,4.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_00:00:00.txt
FS-2012-036,2012-10-05.0,223.5,20.3,211,11,237,28,602,2012-10-12.0,7.0,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_00:00:00.txt
FS-2012-035,2012-10-05.0,186.4,14.7,177,9,196,24,1304,2012-10-14.7,9.7,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_00:00:00.txt
FS-2012-034,2012-10-05.5,262.8,14.7,256,12,268,21,433,2012-10-08.5,3.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_12:00:00.txt
FS-2012-036,2012-10-05.5,221.6,17.6,211,7,237,28,865,2012-10-11.6,6.6,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_12:00:00.txt
FS-2012-035,2012-10-05.5,185.1,15.7,172,9,198,24,1851,2012-10-14.3,9.3,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.05_12:00:00.txt
FS-2012-034,2012-10-06.0,263.5,15.8,258,12,270,22,481,2012-10-08.9,2.9,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_00:00:00.txt
FS-2012-036,2012-10-06.0,219.4,16.6,1,-88,359,86,493,2012-10-12.3,6.3,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_00:00:00.txt
FS-2012-035,2012-10-06.0,184.0,15.5,168,9,198,26,2489,2012-10-14.9,8.9,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_00:00:00.txt
FS-2012-034,2012-10-06.5,263.8,15.1,258,11,270,22,583,2012-10-08.4,2.4,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_12:00:00.txt
FS-2012-036,2012-10-06.5,219.7,14.2,211,7,230,26,1119,2012-10-11.7,5.7,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_12:00:00.txt
FS-2012-035,2012-10-06.5,184.1,15.7,168,7,200,26,2703,2012-10-14.4,8.4,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.06_12:00:00.txt
FS-2012-034,2012-10-07.0,263.8,15.4,258,11,271,23,626,2012-10-08.9,1.9,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_00:00:00.txt
FS-2012-036,2012-10-07.0,220.1,14.1,211,7,230,24,922,2012-10-12.2,5.2,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_00:00:00.txt
FS-2012-035,2012-10-07.0,183.5,15.5,168,7,200,26,2790,2012-10-15.0,8.0,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_00:00:00.txt
FS-2012-034,2012-10-07.5,263.9,14.9,256,11,271,23,677,2012-10-08.4,1.4,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_12:00:00.txt
FS-2012-036,2012-10-07.5,220.5,13.5,211,5,230,24,1250,2012-10-11.7,4.7,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_12:00:00.txt
FS-2012-035,2012-10-07.5,183.7,15.4,168,7,200,26,2734,2012-10-14.5,7.5,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.07_12:00:00.txt
FS-2012-034,2012-10-08.0,263.4,15.1,256,11,271,23,736,2012-10-08.9,0.9,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_00:00:00.txt
FS-2012-036,2012-10-08.0,220.9,12.5,211,5,229,24,897,2012-10-12.1,4.1,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_00:00:00.txt
FS-2012-035,2012-10-08.0,183.1,15.2,168,7,200,26,2504,2012-10-15.0,7.0,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_00:00:00.txt
FS-2012-034,2012-10-08.5,263.6,14.1,256,10,270,22,660,2012-10-08.4,0.4,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_12:00:00.txt
FS-2012-036,2012-10-08.5,220.9,12.2,211,4,229,23,1039,2012-10-11.7,3.7,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_12:00:00.txt
FS-2012-035,2012-10-08.5,183.1,15.0,170,7,200,26,2412,2012-10-14.5,6.5,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.08_12:00:00.txt
FS-2012-034,2012-10-09.0,260.0,13.9,256,10,264,21,296,2012-10-09.2,0.2,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_00:00:00.txt
FS-2012-036,2012-10-09.0,222.2,11.2,213,4,229,19,855,2012-10-12.1,3.1,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_00:00:00.txt
FS-2012-035,2012-10-09.0,183.2,14.4,170,5,200,25,2327,2012-10-15.0,6.0,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_00:00:00.txt
FS-2012-034,2012-10-09.5,256.0,13.0,255,12,257,14,8,2012-10-09.0,0.0,32,87,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_12:00:00.txt
FS-2012-036,2012-10-09.5,222.3,11.2,213,4,230,19,886,2012-10-11.6,2.6,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_12:00:00.txt
FS-2012-035,2012-10-09.5,184.4,14.3,170,5,200,24,2391,2012-10-14.4,5.4,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.09_12:00:00.txt
FS-2012-036,2012-10-10.0,222.2,10.7,213,5,230,19,894,2012-10-12.1,2.1,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.10_00:00:00.txt
FS-2012-035,2012-10-10.0,185.1,14.1,170,5,200,24,2222,2012-10-14.9,4.9,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.10_00:00:00.txt
FS-2012-036,2012-10-10.5,222.4,10.6,213,5,230,19,849,2012-10-11.6,1.6,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.10_12:00:00.txt
FS-2012-035,2012-10-10.5,185.2,14.0,168,5,202,25,2217,2012-10-14.4,4.4,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.10_12:00:00.txt
FS-2012-036,2012-10-11.0,222.5,10.0,213,5,230,17,674,2012-10-12.1,1.1,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.11_00:00:00.txt
FS-2012-035,2012-10-11.0,186.3,14.2,168,5,202,25,1915,2012-10-14.8,3.8,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.11_00:00:00.txt
