designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2021-012,2022-01-01.0,26.2,-1.1,25,-2,27,0,89,2022-01-03.0,2.0,4,147,151,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.01_00:00:00.txt
FS-2021-013,2022-01-01.0,312.8,-19.9,305,-25,320,-13,523,2022-01-08.5,7.5,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.01_00:00:00.txt
FS-2021-012,2022-01-01.5,26.9,-3.8,25,-4,28,-2,26,2022-01-02.4,1.4,1,152,152,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.01_12:00:00.txt
FS-2022-001,2022-01-01.5,8.6,-35.6,2,-43,15,-26,669,2022-01-03.8,2.8,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.01_12:00:00.txt
FS-2021-013,2022-01-01.5,312.6,-20.0,305,-25,320,-13,407,2022-01-08.0,7.0,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.01_12:00:00.txt
FS-2022-001,2022-01-02.0,9.3,-35.2,2,-43,17,-26,611,2022-01-04.2,2.2,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.02_00:00:00.txt
FS-2021-013,2022-01-02.0,313.9,-20.5,308,-25,322,-15,391,2022-01-08.4,6.4,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.02_00:00:00.txt
FS-2022-001,2022-01-02.5,9.0,-35.2,1,-43,17,-26,755,2022-01-03.7,1.7,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.02_12:00:00.txt
FS-2021-013,2022-01-02.5,315.8,-21.5,308,-27,323,-15,447,2022-01-07.8,5.8,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.02_12:00:00.txt
FS-2022-001,2022-01-03.0,9.6,-34.4,1,-40,18,-31,685,2022-01-04.2,1.2,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2022.01.03_00:00:00.txt
