designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2013-011,2013-04-23.5,186.0,9.2,177,5,193,15,567,2013-04-23.7,0.7,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.24_12:00:00.txt
FS-2013-012,2013-04-23.5,150.4,-21.7,146,-25,155,-17,141,2013-04-26.2,3.2,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.24_12:00:00.txt
FS-2013-011,2013-04-24.0,185.5,9.2,177,5,191,15,499,2013-04-24.5,0.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.25_00:00:00.txt
FS-2013-012,2013-04-24.0,150.5,-21.8,146,-25,155,-17,198,2013-04-27.0,3.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.25_00:00:00.txt
FS-2013-012,2013-04-25.5,151.1,-21.4,148,-23,155,-17,149,2013-04-26.2,1.2,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.25_12:00:00.txt
FS-2013-012,2013-04-26.0,149.6,-21.5,143,-23,155,-17,240,2013-04-26.8,0.8,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.26_00:00:00.txt
FS-2013-012,2013-04-26.5,149.1,-21.2,143,-23,153,-17,174,2013-04-26.3,0.3,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.26_12:00:00.txt
FS-2013-012,2013-04-27.0,144.8,-20.4,143,-21,145,-19,43,2013-04-27.1,0.1,10,114,230,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.27_00:00:00.txt
FS-2013-013,2013-04-30.0,328.0,13.3,320,11,337,19,563,2013-05-10.7,10.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.30_00:00:00.txt
FS-2013-013,2013-04-30.5,326.9,14.1,318,11,337,21,867,2013-05-10.3,10.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.04.30_12:00:00.txt
FS-2013-013,2013-05-01.0,327.4,14.0,317,10,338,21,963,2013-05-10.7,9.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.01_00:00:00.txt
FS-2013-013,2013-05-01.5,326.8,14.1,317,10,338,21,1118,2013-05-10.3,9.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.01_12:00:00.txt
FS-2013-013,2013-05-02.0,326.3,13.9,316,9,338,21,1150,2013-05-10.8,8.8,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.02_00:00:00.txt
FS-2013-013,2013-05-02.5,325.4,14.3,315,9,337,23,1291,2013-05-10.4,8.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.02_12:00:00.txt
FS-2013-013,2013-05-03.0,325.4,13.9,315,9,337,23,1125,2013-05-10.9,7.9,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.03_00:00:00.txt
FS-2013-013,2013-05-03.5,325.3,14.2,315,9,337,23,1155,2013-05-10.4,7.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.03_12:00:00.txt
FS-2013-013,2013-05-04.0,326.1,13.6,316,9,337,21,987,2013-05-10.8,6.8,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.04_00:00:00.txt
FS-2013-013,2013-05-04.5,326.3,13.6,316,7,337,21,1087,2013-05-10.3,6.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.04_12:00:00.txt
FS-2013-013,2013-05-05.0,327.1,13.5,317,7,337,21,929,2013-05-10.7,5.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.05_00:00:00.txt
FS-2013-013,2013-05-05.5,327.4,13.2,317,7,337,21,928,2013-05-10.2,5.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.05_12:00:00.txt
FS-2013-013,2013-05-06.0,328.4,13.2,318,7,337,19,843,2013-05-10.6,4.6,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.06_00:00:00.txt
FS-2013-013,2013-05-06.5,329.0,12.8,319,7,338,19,814,2013-05-10.1,4.1,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.06_12:00:00.txt
FS-2013-013,2013-05-07.0,330.2,13.1,320,7,339,19,735,2013-05-10.5,3.5,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.07_00:00:00.txt
FS-2013-013,2013-05-08.0,330.8,13.2,320,9,339,19,783,2013-05-10.5,2.5,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.08_00:00:00.txt
FS-2013-013,2013-05-08.5,330.5,13.1,320,9,339,19,825,2013-05-10.0,2.0,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.08_12:00:00.txt
FS-2013-013,2013-05-09.0,332.0,13.0,322,9,340,19,722,2013-05-10.4,1.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.09_00:00:00.txt
FS-2013-013,2013-05-09.5,331.4,12.9,322,9,340,19,875,2013-05-09.9,0.9,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.09_12:00:00.txt
FS-2013-013,2013-05-10.0,331.4,13.1,324,9,338,19,784,2013-05-10.4,0.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.10_00:00:00.txt
FS-2013-013,2013-05-10.5,327.2,13.1,322,9,331,19,409,2013-05-10.3,0.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.10_12:00:00.txt
FS-2013-013,2013-05-11.0,322.9,14.1,321,13,323,15,33,2013-05-11.1,0.1,44,144,144,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.11_00:00:00.txt
FS-2013-014,2013-05-11.5,194.9,11.8,188,10,195,13,435,2013-05-20.2,9.2,0,190,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.11_12:00:00.txt
FS-2013-014,2013-05-12.0,194.9,11.9,188,10,195,12,517,2013-05-20.7,8.7,0,190,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.12_00:00:00.txt
FS-2013-014,2013-05-12.5,193.1,12.7,184,10,205,21,577,2013-05-20.3,8.3,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.12_12:00:00.txt
FS-2013-014,2013-05-13.0,193.2,12.7,184,10,203,21,548,2013-05-20.8,7.8,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.13_00:00:00.txt
FS-2013-014,2013-05-13.5,193.6,15.2,182,10,205,26,879,2013-05-20.3,7.3,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.13_12:00:00.txt
FS-2013-015,2013-05-13.5,148.7,-11.4,138,-15,160,-6,615,2013-05-23.6,10.6,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.13_12:00:00.txt
FS-2013-014,2013-05-14.0,195.4,14.8,182,9,205,26,1034,2013-05-20.7,6.7,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.14_00:00:00.txt
FS-2013-015,2013-05-14.0,148.6,-11.3,138,-15,164,-6,616,2013-05-24.1,10.1,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.14_00:00:00.txt
FS-2013-014,2013-05-14.5,195.7,15.2,182,9,207,26,1074,2013-05-20.2,6.2,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.14_12:00:00.txt
FS-2013-015,2013-05-14.5,148.2,-11.4,136,-16,164,-4,998,2013-05-23.6,9.6,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.14_12:00:00.txt
FS-2013-014,2013-05-15.0,197.3,14.4,188,9,207,23,834,2013-05-20.6,5.6,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2013.05.15_00:00:00.txt
