designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2017-001,2017-02-12.0,119.6,-0.9,118,-1,122,1,443,2017-02-18.0,6.0,128,26,128,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.12_00:00:00.txt
FS-2017-001,2017-02-12.5,119.3,-1.6,118,-2,120,0,716,2017-02-17.5,5.5,127,113,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.12_12:00:00.txt
FS-2017-002,2017-02-12.5,105.2,15.7,98,13,112,23,463,2017-02-18.9,6.9,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.12_12:00:00.txt
FS-2017-001,2017-02-13.0,119.3,-2.1,118,-9,120,3,679,2017-02-18.0,5.0,127,117,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.13_00:00:00.txt
FS-2017-002,2017-02-13.0,104.8,16.0,98,13,303,23,457,2017-02-19.4,6.4,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.13_00:00:00.txt
FS-2017-001,2017-02-13.5,119.2,-2.2,118,-9,120,3,648,2017-02-17.6,4.6,127,117,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.13_12:00:00.txt
FS-2017-002,2017-02-13.5,105.2,15.9,96,13,112,23,544,2017-02-18.9,5.9,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.13_12:00:00.txt
FS-2017-001,2017-02-14.0,119.6,-2.8,118,-9,120,3,583,2017-02-18.0,4.0,127,117,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.14_00:00:00.txt
FS-2017-002,2017-02-14.0,104.8,16.0,96,13,112,22,520,2017-02-19.4,5.4,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.14_00:00:00.txt
FS-2017-001,2017-02-14.5,119.1,-3.0,118,-7,120,-1,631,2017-02-17.6,3.6,127,117,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.14_12:00:00.txt
FS-2017-002,2017-02-14.5,104.3,16.3,96,13,112,23,609,2017-02-19.0,5.0,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.14_12:00:00.txt
FS-2017-001,2017-02-15.0,119.1,-3.2,118,-7,120,-1,530,2017-02-18.1,3.1,127,117,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.15_00:00:00.txt
FS-2017-002,2017-02-15.0,103.9,16.4,96,13,112,23,564,2017-02-19.5,4.5,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.15_00:00:00.txt
FS-2017-001,2017-02-15.5,118.7,-3.0,111,-6,126,3,415,2017-02-17.6,2.6,127,127,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.15_12:00:00.txt
FS-2017-002,2017-02-15.5,103.7,16.6,96,13,112,23,504,2017-02-19.0,4.0,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2017/AR_LIST_2017.02.15_12:00:00.txt
