designation,longitude,latitude,strength,eta at east limb,days from east limb,Timestamp,URL
FS-2023-046,176.7,32.4,400,2023-05-25.1,2.1,2023-05-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_00:00:00.txt
FS-2023-045,123.9,10.6,5693,2023-05-28.9,5.9,2023-05-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_00:00:00.txt
FS-2023-042,196.0,24.4,13,2023-05-23.0,0.0,2023-05-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_12:00:00.txt
FS-2023-043,188.8,-11.1,714,2023-05-23.5,0.5,2023-05-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_12:00:00.txt
FS-2023-046,178.7,30.4,370,2023-05-24.4,1.4,2023-05-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_12:00:00.txt
FS-2023-045,121.9,10.5,6146,2023-05-28.6,5.6,2023-05-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.23_12:00:00.txt
FS-2023-043,185.9,-11.0,315,2023-05-24.2,0.2,2023-05-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_00:00:00.txt
FS-2023-046,179.3,29.3,213,2023-05-24.8,0.8,2023-05-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_00:00:00.txt
FS-2023-045,121.3,9.6,5962,2023-05-29.1,5.1,2023-05-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_00:00:00.txt
FS-2023-048,59.0,25.5,497,2023-06-03.2,10.2,2023-05-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_00:00:00.txt
FS-2023-046,179.8,28.3,171,2023-05-24.3,0.3,2023-05-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_12:00:00.txt
FS-2023-045,118.3,9.7,5922,2023-05-28.8,4.8,2023-05-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_12:00:00.txt
FS-2023-049,84.8,-22.3,868,2023-05-31.5,7.5,2023-05-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_12:00:00.txt
FS-2023-048,60.3,24.0,755,2023-06-02.5,9.5,2023-05-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.24_12:00:00.txt
FS-2023-045,117.4,7.9,5607,2023-05-29.4,4.4,2023-05-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_00:00:00.txt
FS-2023-050,102.3,0.7,441,2023-05-30.5,5.5,2023-05-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_00:00:00.txt
FS-2023-049,85.5,-23.4,754,2023-05-31.9,6.9,2023-05-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_00:00:00.txt
FS-2023-048,63.8,25.2,1209,2023-06-02.7,8.7,2023-05-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_00:00:00.txt
FS-2023-051,30.7,12.2,784,2023-06-04.9,10.9,2023-05-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_00:00:00.txt
FS-2023-052,139.3,43.5,511,2023-05-27.6,2.6,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-045,104.3,14.7,7628,2023-05-29.9,4.9,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-050,102.9,-0.1,260,2023-05-29.9,4.9,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-049,81.7,-20.5,1216,2023-05-31.7,6.7,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-053,49.2,-17.5,521,2023-06-03.1,9.1,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-048,52.5,27.4,71,2023-06-03.2,9.2,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-051,31.1,15.2,1224,2023-06-04.5,10.5,2023-05-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.25_12:00:00.txt
FS-2023-052,139.2,43.8,404,2023-05-28.1,2.1,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-050,103.1,-0.7,224,2023-05-30.4,4.4,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-045,100.8,15.5,7645,2023-05-30.7,4.7,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-049,80.5,-20.4,658,2023-06-01.2,6.2,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-053,49.6,-18.0,464,2023-06-03.6,8.6,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-048,50.8,28.1,53,2023-06-03.8,8.8,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-051,30.4,14.4,2040,2023-06-05.0,10.0,2023-05-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_00:00:00.txt
FS-2023-052,138.9,43.8,566,2023-05-27.5,1.5,2023-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_12:00:00.txt
FS-2023-045,98.9,17.2,7943,2023-05-30.4,4.4,2023-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_12:00:00.txt
FS-2023-049,76.2,-18.7,859,2023-06-01.0,6.0,2023-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_12:00:00.txt
FS-2023-053,46.0,-13.9,844,2023-06-03.3,8.3,2023-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_12:00:00.txt
FS-2023-051,29.4,16.4,2811,2023-06-04.6,9.6,2023-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.26_12:00:00.txt
FS-2023-052,137.3,44.6,356,2023-05-28.1,1.1,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-045,98.8,15.8,7874,2023-05-30.9,3.9,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-054,85.0,9.1,403,2023-05-31.8,4.8,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-049,73.7,-18.9,366,2023-06-01.7,5.7,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-053,50.6,-11.9,1064,2023-06-03.4,7.4,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-051,29.7,16.6,3902,2023-06-05.1,9.1,2023-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_00:00:00.txt
FS-2023-045,97.3,17.1,7695,2023-05-30.5,3.5,2023-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_12:00:00.txt
FS-2023-054,86.2,8.8,464,2023-05-31.3,4.3,2023-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_12:00:00.txt
FS-2023-049,73.7,-18.6,509,2023-06-01.2,5.2,2023-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_12:00:00.txt
FS-2023-053,52.4,-10.6,1437,2023-06-02.8,6.8,2023-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_12:00:00.txt
FS-2023-051,28.4,17.2,4273,2023-06-04.7,8.7,2023-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.27_12:00:00.txt
FS-2023-045,110.5,9.3,5109,2023-05-29.9,1.9,2023-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_00:00:00.txt
FS-2023-054,86.0,8.9,422,2023-05-31.8,3.8,2023-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_00:00:00.txt
FS-2023-049,72.3,-18.5,196,2023-06-01.8,4.8,2023-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_00:00:00.txt
FS-2023-053,51.7,-10.0,1634,2023-06-03.3,6.3,2023-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_00:00:00.txt
FS-2023-051,40.4,20.8,7052,2023-06-04.4,7.4,2023-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_00:00:00.txt
FS-2023-045,110.9,9.1,4451,2023-05-29.4,1.4,2023-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_12:00:00.txt
FS-2023-054,86.8,8.5,308,2023-05-31.2,3.2,2023-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_12:00:00.txt
FS-2023-049,71.0,-18.9,103,2023-06-01.4,4.4,2023-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_12:00:00.txt
FS-2023-053,54.0,-12.0,2669,2023-06-02.7,5.7,2023-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_12:00:00.txt
FS-2023-051,39.2,21.2,7612,2023-06-04.0,7.0,2023-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.28_12:00:00.txt
FS-2023-045,109.1,4.9,3646,2023-05-30.0,1.0,2023-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_00:00:00.txt
FS-2023-054,85.5,9.3,142,2023-05-31.8,2.8,2023-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_00:00:00.txt
FS-2023-049,62.2,-16.6,13,2023-06-02.6,4.6,2023-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_00:00:00.txt
FS-2023-053,52.3,-11.4,2512,2023-06-03.3,5.3,2023-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_00:00:00.txt
FS-2023-051,40.1,20.9,7959,2023-06-04.4,6.4,2023-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_00:00:00.txt
FS-2023-045,104.2,2.0,2566,2023-05-29.9,0.9,2023-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_12:00:00.txt
FS-2023-049,62.2,-16.6,13,2023-06-02.1,4.1,2023-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_12:00:00.txt
FS-2023-053,56.9,-12.1,2471,2023-06-02.5,4.5,2023-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_12:00:00.txt
FS-2023-051,39.1,19.9,9486,2023-06-03.9,5.9,2023-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.29_12:00:00.txt
FS-2023-045,100.1,3.9,1298,2023-05-30.7,0.7,2023-05-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_00:00:00.txt
FS-2023-053,58.1,-11.3,1588,2023-06-02.9,3.9,2023-05-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_00:00:00.txt
FS-2023-051,40.0,18.2,9564,2023-06-04.3,5.3,2023-05-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_00:00:00.txt
FS-2023-045,95.8,5.3,653,2023-05-30.6,0.6,2023-05-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_12:00:00.txt
FS-2023-053,58.4,-11.5,1772,2023-06-02.3,3.3,2023-05-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_12:00:00.txt
FS-2023-051,38.9,18.7,9795,2023-06-03.9,4.9,2023-05-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.30_12:00:00.txt
FS-2023-045,94.8,17.1,148,2023-05-31.2,0.2,2023-05-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_00:00:00.txt
FS-2023-053,56.2,-13.5,1226,2023-06-03.0,3.0,2023-05-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_00:00:00.txt
FS-2023-051,39.9,17.4,9353,2023-06-04.3,4.3,2023-05-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_00:00:00.txt
FS-2023-045,89.5,22.5,6,2023-05-31.1,0.1,2023-05-31.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_12:00:00.txt
FS-2023-053,57.0,-12.9,1313,2023-06-02.5,2.5,2023-05-31.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_12:00:00.txt
FS-2023-051,39.8,18.2,8717,2023-06-03.8,3.8,2023-05-31.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.05.31_12:00:00.txt
FS-2023-053,58.5,-12.5,823,2023-06-02.9,1.9,2023-06-01.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.01_00:00:00.txt
FS-2023-051,37.9,17.7,9354,2023-06-04.5,3.5,2023-06-01.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.01_00:00:00.txt
FS-2023-053,59.9,-10.3,705,2023-06-02.3,1.3,2023-06-01.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.01_12:00:00.txt
FS-2023-051,35.8,18.2,8586,2023-06-04.1,3.1,2023-06-01.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.01_12:00:00.txt
FS-2023-053,62.3,-8.9,552,2023-06-02.6,0.6,2023-06-02.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_00:00:00.txt
FS-2023-051,34.0,17.2,7486,2023-06-04.8,2.8,2023-06-02.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_00:00:00.txt
FS-2023-055,339.1,29.6,402,2023-06-09.2,7.2,2023-06-02.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_00:00:00.txt
FS-2023-053,59.5,-7.6,249,2023-06-02.3,0.3,2023-06-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_12:00:00.txt
FS-2023-051,29.7,16.9,5968,2023-06-04.6,2.6,2023-06-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_12:00:00.txt
FS-2023-056,10.4,-24.2,441,2023-06-06.1,4.1,2023-06-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_12:00:00.txt
FS-2023-055,338.7,29.6,192,2023-06-08.7,6.7,2023-06-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_12:00:00.txt
FS-2023-057,279.1,16.0,618,2023-06-12.9,10.9,2023-06-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.02_12:00:00.txt
FS-2023-051,26.3,15.4,4741,2023-06-05.3,2.3,2023-06-03.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_00:00:00.txt
FS-2023-056,11.5,-23.6,384,2023-06-06.5,3.5,2023-06-03.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_00:00:00.txt
FS-2023-055,338.6,29.1,395,2023-06-09.2,6.2,2023-06-03.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_00:00:00.txt
FS-2023-057,278.1,16.9,872,2023-06-13.5,10.5,2023-06-03.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_00:00:00.txt
FS-2023-051,23.4,15.2,3358,2023-06-05.0,2.0,2023-06-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_12:00:00.txt
FS-2023-056,13.6,-24.0,666,2023-06-05.8,2.8,2023-06-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_12:00:00.txt
FS-2023-055,336.5,27.9,121,2023-06-08.8,5.8,2023-06-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_12:00:00.txt
FS-2023-058,295.1,22.9,439,2023-06-11.9,8.9,2023-06-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_12:00:00.txt
FS-2023-057,279.4,15.9,1092,2023-06-12.9,9.9,2023-06-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.03_12:00:00.txt
FS-2023-051,23.5,15.6,3292,2023-06-05.5,1.5,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-056,13.4,-23.5,656,2023-06-06.3,2.3,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-055,337.1,28.4,195,2023-06-09.2,5.2,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-058,298.0,24.4,446,2023-06-12.2,8.2,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-059,283.1,-18.5,589,2023-06-13.2,9.2,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-057,279.6,16.6,1828,2023-06-13.4,9.4,2023-06-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_00:00:00.txt
FS-2023-051,21.6,17.4,2459,2023-06-05.2,1.2,2023-06-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_12:00:00.txt
FS-2023-056,15.0,-24.6,1082,2023-06-05.7,1.7,2023-06-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_12:00:00.txt
FS-2023-058,298.8,25.2,226,2023-06-11.6,7.6,2023-06-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_12:00:00.txt
FS-2023-059,282.4,-18.6,653,2023-06-12.7,8.7,2023-06-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_12:00:00.txt
FS-2023-057,280.1,17.2,2666,2023-06-12.9,8.9,2023-06-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.04_12:00:00.txt
FS-2023-051,18.1,19.2,1702,2023-06-05.9,0.9,2023-06-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_00:00:00.txt
FS-2023-056,14.8,-24.6,1178,2023-06-06.2,1.2,2023-06-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_00:00:00.txt
FS-2023-058,313.6,25.9,685,2023-06-11.0,6.0,2023-06-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_00:00:00.txt
FS-2023-057,278.2,17.5,3062,2023-06-13.5,8.5,2023-06-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_00:00:00.txt
FS-2023-059,277.1,-19.6,1851,2023-06-13.6,8.6,2023-06-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_00:00:00.txt
FS-2023-051,15.0,21.8,991,2023-06-05.7,0.7,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-056,13.6,-24.7,1079,2023-06-05.8,0.8,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-058,317.1,26.0,429,2023-06-10.2,5.2,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-060,302.0,38.0,404,2023-06-11.7,6.7,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-057,278.8,16.8,3381,2023-06-13.0,8.0,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-059,272.3,-21.5,2847,2023-06-13.5,8.5,2023-06-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.05_12:00:00.txt
FS-2023-051,11.3,23.1,473,2023-06-06.5,0.5,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-056,10.7,-24.3,722,2023-06-06.5,0.5,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-058,317.3,26.0,496,2023-06-10.7,4.7,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-060,302.2,38.0,309,2023-06-12.1,6.1,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-057,278.6,16.1,3621,2023-06-13.5,7.5,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-059,274.1,-21.1,3283,2023-06-13.9,7.9,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-061,241.4,23.1,420,2023-06-16.5,10.5,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-062,235.1,-20.0,809,2023-06-16.8,10.8,2023-06-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_00:00:00.txt
FS-2023-051,7.7,24.3,92,2023-06-06.2,0.2,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-056,6.4,-24.2,414,2023-06-06.3,0.3,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-063,327.4,-38.4,710,2023-06-09.5,3.5,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-058,318.4,26.1,300,2023-06-10.1,4.1,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-060,301.4,38.6,487,2023-06-11.6,5.6,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-057,289.6,13.1,725,2023-06-12.1,6.1,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-059,270.0,-7.7,8041,2023-06-13.5,7.5,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-061,240.0,23.7,788,2023-06-16.1,10.1,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-062,235.5,-24.9,59,2023-06-16.4,10.4,2023-06-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.06_12:00:00.txt
FS-2023-056,2.3,-23.3,49,2023-06-07.1,0.1,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-063,328.0,-38.1,778,2023-06-09.9,2.9,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-058,316.3,27.1,462,2023-06-10.7,3.7,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-057,294.1,9.4,432,2023-06-12.2,5.2,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-060,299.0,40.7,353,2023-06-12.3,5.3,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-059,269.5,-6.8,8822,2023-06-14.0,7.0,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-061,240.6,23.5,1049,2023-06-16.5,9.5,2023-06-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_00:00:00.txt
FS-2023-063,326.6,-37.6,829,2023-06-09.5,2.5,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-058,315.5,27.6,322,2023-06-10.3,3.3,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-057,297.2,6.5,260,2023-06-11.5,4.5,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-060,300.1,39.8,393,2023-06-11.7,4.7,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-059,268.0,-6.8,10105,2023-06-13.7,6.7,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-061,237.5,24.5,1401,2023-06-16.3,9.3,2023-06-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.07_12:00:00.txt
FS-2023-063,327.1,-37.1,853,2023-06-09.9,1.9,2023-06-08.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.08_00:00:00.txt
FS-2023-058,314.7,27.7,351,2023-06-10.8,2.8,2023-06-08.0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.06.08_00:00:00.txt
