designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2011-001,2011-02-15.5,170.5,17.9,164,16,178,24,421,2011-02-24.0,9.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.15_12:00:00.txt
FS-2011-001,2011-02-16.0,169.8,17.3,164,14,178,24,456,2011-02-24.5,8.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.16_00:00:00.txt
FS-2011-001,2011-02-16.5,169.3,17.7,163,14,178,24,478,2011-02-24.0,8.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.16_12:00:00.txt
FS-2011-001,2011-02-17.0,169.1,17.5,163,14,176,23,399,2011-02-24.6,7.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.17_00:00:00.txt
FS-2011-001,2011-02-17.5,169.1,17.9,163,14,176,23,347,2011-02-24.1,7.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.17_12:00:00.txt
FS-2011-001,2011-02-18.0,169.9,17.8,164,16,176,23,248,2011-02-24.5,6.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.18_00:00:00.txt
FS-2011-001,2011-02-18.5,166.7,23.5,165,22,167,24,552,2011-02-24.4,6.4,100,0,7,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.18_12:00:00.txt
FS-2011-001,2011-02-19.0,166.1,24.9,159,18,175,35,546,2011-02-25.0,6.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.19_00:00:00.txt
FS-2011-001,2011-02-19.5,166.4,24.6,159,16,175,35,686,2011-02-24.4,5.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.19_12:00:00.txt
FS-2011-001,2011-02-20.0,165.4,25.7,157,16,175,37,789,2011-02-25.0,5.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.20_00:00:00.txt
FS-2011-001,2011-02-20.5,165.5,25.5,157,16,175,37,759,2011-02-24.5,4.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.20_12:00:00.txt
FS-2011-001,2011-02-21.0,164.9,26.3,157,16,175,37,665,2011-02-25.1,4.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.21_00:00:00.txt
FS-2011-001,2011-02-21.5,165.3,26.3,157,16,175,35,643,2011-02-24.5,3.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.21_12:00:00.txt
FS-2011-001,2011-02-22.0,164.5,26.7,157,16,175,35,652,2011-02-25.1,3.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.22_00:00:00.txt
FS-2011-001,2011-02-22.5,164.5,26.8,157,19,175,35,629,2011-02-24.6,2.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.22_12:00:00.txt
FS-2011-001,2011-02-23.0,163.5,27.2,157,23,171,33,585,2011-02-25.2,2.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.23_00:00:00.txt
FS-2011-001,2011-02-23.5,164.0,26.9,157,23,171,33,545,2011-02-24.6,1.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.23_12:00:00.txt
FS-2011-001,2011-02-24.0,163.6,27.0,157,23,171,33,513,2011-02-25.1,1.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.24_00:00:00.txt
FS-2011-001,2011-02-24.5,164.0,26.9,157,23,171,33,485,2011-02-24.6,0.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.24_12:00:00.txt
FS-2011-001,2011-02-25.0,161.5,27.4,157,25,164,33,270,2011-02-25.3,0.3,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.25_00:00:00.txt
FS-2011-001,2011-02-25.5,158.0,27.9,1,-89,359,85,12,2011-02-25.0,0.0,178,153,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.25_12:00:00.txt
FS-2011-002,2011-02-25.5,34.8,-22.9,30,-27,40,-17,404,2011-03-06.0,9.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.25_12:00:00.txt
FS-2011-002,2011-02-26.0,34.9,-22.9,30,-27,40,-17,307,2011-03-06.5,8.5,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.26_00:00:00.txt
FS-2011-002,2011-02-26.5,34.4,-22.9,30,-27,40,-17,411,2011-03-06.0,8.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.26_12:00:00.txt
FS-2011-002,2011-02-27.0,34.0,-23.0,30,-27,40,-17,270,2011-03-06.5,7.5,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.27_00:00:00.txt
FS-2011-002,2011-02-27.5,33.8,-22.8,29,-27,40,-17,325,2011-03-06.0,7.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.27_12:00:00.txt
FS-2011-002,2011-02-28.0,33.4,-22.8,29,-27,37,-17,213,2011-03-06.6,6.6,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.28_00:00:00.txt
FS-2011-002,2011-02-28.5,33.7,-22.3,29,-27,37,-17,263,2011-03-06.0,6.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.02.28_12:00:00.txt
FS-2011-002,2011-03-01.0,34.4,-21.6,30,-25,38,-17,189,2011-03-06.5,5.5,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.01_00:00:00.txt
FS-2011-002,2011-03-01.5,34.5,-21.6,30,-25,38,-17,230,2011-03-05.9,4.9,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.01_12:00:00.txt
FS-2011-002,2011-03-02.0,34.6,-21.3,30,-23,38,-17,186,2011-03-06.4,4.4,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.02_00:00:00.txt
FS-2011-002,2011-03-02.5,34.7,-21.1,30,-23,38,-15,193,2011-03-05.9,3.9,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.02_12:00:00.txt
FS-2011-002,2011-03-03.0,33.8,-21.3,28,-23,38,-15,166,2011-03-06.5,3.5,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.03_00:00:00.txt
FS-2011-002,2011-03-03.5,34.4,-21.1,28,-23,38,-15,153,2011-03-05.9,2.9,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2011/AR_LIST_2011.03.03_12:00:00.txt
