designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2016-038,2016-08-02.0,170.9,4.5,159,1,184,12,1017,2016-08-07.1,5.1,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2016.08.02_00:00:00.txt
FS-2016-039,2016-08-02.0,157.1,-11.9,150,-18,166,-3,867,2016-08-08.3,6.3,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2016.08.02_00:00:00.txt
FS-2015-129,2016-01-01.0,175.0,-5.0,168,-9,179,-1,550,2016-01-01.7,0.7,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.01_00:00:00.txt
FS-2015-130,2016-01-01.0,133.4,18.5,130,16,137,24,217,2016-01-05.0,4.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.01_00:00:00.txt
FS-2015-129,2016-01-01.5,170.3,-4.1,161,-11,178,5,1003,2016-01-01.5,0.5,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.01_12:00:00.txt
FS-2015-130,2016-01-01.5,132.4,19.1,127,16,139,26,372,2016-01-04.5,3.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.01_12:00:00.txt
FS-2015-129,2016-01-02.0,167.0,-3.2,161,-9,171,5,488,2016-01-02.3,0.3,127,140,25,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.02_00:00:00.txt
FS-2015-130,2016-01-02.0,132.7,19.1,127,16,139,26,280,2016-01-05.0,3.0,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.02_00:00:00.txt
FS-2015-129,2016-01-02.5,163.2,-2.2,162,-3,164,-1,90,2016-01-02.1,0.1,105,20,3,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.02_12:00:00.txt
FS-2015-130,2016-01-02.5,132.7,19.0,127,16,139,26,265,2016-01-04.5,2.5,0,127,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2016/AR_LIST_2016.01.02_12:00:00.txt
