designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2022-057,2023-01-01.0,272.3,-17.1,270,-22,275,-12,161,2023-01-01.1,0.1,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_00:00:00.txt
FS-2022-055,2023-01-01.0,274.4,39.5,270,37,277,44,185,2023-01-01.2,0.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_00:00:00.txt
FS-2022-060,2023-01-01.0,227.1,-0.5,96,-86,275,86,5443,2023-01-04.6,3.6,122,0,99,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_00:00:00.txt
FS-2022-063,2023-01-01.0,166.1,-10.1,42,-22,179,15,1302,2023-01-09.1,8.1,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_00:00:00.txt
FS-2022-055,2023-01-01.5,270.2,39.5,269,38,271,40,10,2023-01-01.1,0.1,43,0,146,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_12:00:00.txt
FS-2022-060,2023-01-01.5,225.7,-3.2,224,-4,226,-2,5043,2023-01-04.2,3.2,233,0,219,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_12:00:00.txt
FS-2022-063,2023-01-01.5,166.1,-11.1,42,-27,310,23,1939,2023-01-08.6,7.6,255,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_12:00:00.txt
FS-2023-001,2023-01-01.5,167.0,19.7,159,16,175,26,480,2023-01-08.8,7.8,0,38,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.01_12:00:00.txt
FS-2023-001,2023-01-02.5,219.8,-17.1,201,-27,236,-3,2930,2023-01-04.6,2.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.02_12:00:00.txt
FS-2023-002,2023-01-02.5,195.2,-0.1,192,-1,200,1,488,2023-01-06.5,4.5,99,28,156,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.02_12:00:00.txt
FS-2023-003,2023-01-02.5,173.7,28.5,12,-86,320,89,3371,2023-01-08.5,6.5,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.02_12:00:00.txt
FS-2023-004,2023-01-02.5,158.7,-13.6,129,-29,185,5,5296,2023-01-09.2,7.2,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.02_12:00:00.txt
FS-2023-005,2023-01-02.5,105.1,24.7,94,20,117,30,818,2023-01-13.7,11.7,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.02_12:00:00.txt
FS-2023-001,2023-01-03.0,218.0,-15.8,195,-27,236,-1,2873,2023-01-05.3,2.3,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.03_00:00:00.txt
FS-2023-002,2023-01-03.0,194.9,-0.2,192,-1,200,1,379,2023-01-07.0,4.0,99,28,156,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.03_00:00:00.txt
FS-2023-003,2023-01-03.0,171.9,26.2,170,25,184,43,1823,2023-01-09.1,6.1,9,233,233,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.03_00:00:00.txt
FS-2023-004,2023-01-03.0,160.1,-13.1,129,-29,185,5,3717,2023-01-09.6,6.6,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.03_00:00:00.txt
FS-2023-005,2023-01-03.0,108.8,23.3,94,18,117,30,734,2023-01-13.9,10.9,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.03_00:00:00.txt
FS-2023-001,2023-01-04.0,225.2,-16.3,217,-25,234,-4,1704,2023-01-04.7,0.7,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_00:00:00.txt
FS-2023-002,2023-01-04.0,192.3,6.2,189,1,196,15,418,2023-01-07.3,3.3,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_00:00:00.txt
FS-2023-003,2023-01-04.0,165.7,21.3,156,16,175,28,624,2023-01-09.5,5.5,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_00:00:00.txt
FS-2023-004,2023-01-04.0,161.4,-14.8,143,-25,176,-1,2232,2023-01-09.6,5.6,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_00:00:00.txt
FS-2023-005,2023-01-04.0,112.3,22.8,100,16,126,36,1422,2023-01-13.6,9.6,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_00:00:00.txt
FS-2023-001,2023-01-04.5,222.8,-17.5,216,-27,229,-6,1041,2023-01-04.4,0.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-002,2023-01-04.5,191.0,7.7,181,-6,198,22,926,2023-01-06.9,2.9,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-003,2023-01-04.5,169.3,20.6,157,16,175,28,173,2023-01-08.7,4.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-004,2023-01-04.5,158.4,-5.9,130,-29,185,40,7550,2023-01-09.2,5.2,0,191,0,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-006,2023-01-04.5,112.5,-9.5,105,-18,119,-1,727,2023-01-12.7,8.7,255,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-005,2023-01-04.5,108.3,23.4,89,14,126,36,2381,2023-01-13.4,9.4,255,127,51,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.04_12:00:00.txt
FS-2023-001,2023-01-05.0,219.1,-17.9,216,-27,221,-8,330,2023-01-05.2,0.2,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/AR_LIST_2023.01.05_00:00:00.txt
