designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2020-001,2020-11-16.0,343.6,-17.4,332,-23,355,-10,1094,2020-11-23.1,7.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.16_00:00:00.txt
FS-2020-001,2020-11-16.5,343.9,-16.7,332,-23,355,-10,1137,2020-11-22.6,6.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.16_12:00:00.txt
FS-2020-001,2020-11-17.0,343.4,-16.5,331,-25,355,-6,1589,2020-11-23.1,6.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.17_00:00:00.txt
FS-2020-001,2020-11-17.5,343.0,-15.7,329,-25,356,-4,1931,2020-11-22.6,5.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.17_12:00:00.txt
FS-2020-001,2020-11-18.0,343.1,-16.1,329,-25,357,-4,2024,2020-11-23.1,5.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.18_00:00:00.txt
FS-2020-001,2020-11-18.5,342.5,-15.4,328,-23,357,-4,2124,2020-11-22.6,4.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.18_12:00:00.txt
FS-2020-001,2020-11-19.0,343.4,-15.7,328,-23,357,-4,2169,2020-11-23.1,4.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.19_00:00:00.txt
FS-2020-001,2020-11-19.5,342.9,-15.6,328,-23,357,-4,2122,2020-11-22.6,3.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.19_12:00:00.txt
FS-2020-001,2020-11-20.0,343.6,-15.6,329,-23,357,-4,2034,2020-11-23.1,3.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.20_00:00:00.txt
FS-2020-001,2020-11-20.5,342.3,-15.1,329,-23,357,-4,2164,2020-11-22.7,2.7,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.20_12:00:00.txt
FS-2020-001,2020-11-21.0,343.3,-15.2,329,-22,357,-4,2025,2020-11-23.1,2.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.21_00:00:00.txt
FS-2020-001,2020-11-21.5,342.6,-15.7,329,-25,357,-4,2303,2020-11-22.6,1.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.21_12:00:00.txt
FS-2020-001,2020-11-22.0,343.7,-16.2,330,-25,357,-6,1935,2020-11-23.1,1.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.22_00:00:00.txt
FS-2020-001,2020-11-22.5,342.2,-16.3,330,-25,352,-6,1749,2020-11-22.7,0.7,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.22_12:00:00.txt
FS-2020-001,2020-11-23.0,338.9,-16.2,330,-23,345,-8,796,2020-11-23.4,0.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.23_00:00:00.txt
FS-2020-001,2020-11-23.5,334.7,-17.1,330,-22,339,-10,347,2020-11-23.3,0.3,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.23_12:00:00.txt
FS-2020-001,2020-11-24.0,330.6,-18.5,329,-20,331,-15,41,2020-11-24.1,0.1,38,0,160,http://jsoc.stanford.edu/data/farside/AR_Lists/2020/AR_LIST_2020.11.24_00:00:00.txt
