designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2012-003,2012-01-17.0,124.8,9.7,121,5,130,17,447,2012-01-21.0,4.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_00:00:00.txt
FS-2012-004,2012-01-17.0,67.1,-28.3,66,-29,68,-27,513,2012-01-25.4,8.4,93,10,21,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_00:00:00.txt
FS-2012-002,2012-01-17.0,61.3,19.1,60,13,62,28,1683,2012-01-25.9,8.9,21,43,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_00:00:00.txt
FS-2012-003,2012-01-17.5,125.6,9.3,121,5,131,15,445,2012-01-20.4,3.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_12:00:00.txt
FS-2012-005,2012-01-17.5,89.8,-23.2,82,-29,97,-15,569,2012-01-23.1,6.1,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_12:00:00.txt
FS-2012-004,2012-01-17.5,68.1,-27.8,1,-84,359,89,359,2012-01-24.8,7.8,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_12:00:00.txt
FS-2012-002,2012-01-17.5,60.5,19.2,59,16,61,28,1920,2012-01-25.5,8.5,88,16,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.17_12:00:00.txt
FS-2012-003,2012-01-18.0,125.7,8.3,121,3,131,15,440,2012-01-20.9,2.9,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_00:00:00.txt
FS-2012-005,2012-01-18.0,88.3,-21.7,80,-29,97,-13,622,2012-01-23.7,5.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_00:00:00.txt
FS-2012-004,2012-01-18.0,67.9,-27.9,66,-28,68,-26,443,2012-01-25.3,7.3,29,91,182,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_00:00:00.txt
FS-2012-002,2012-01-18.0,60.4,19.6,59,16,61,28,1723,2012-01-26.1,8.1,88,16,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_00:00:00.txt
FS-2012-003,2012-01-18.5,126.6,7.8,121,1,133,15,562,2012-01-20.3,2.3,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_12:00:00.txt
FS-2012-005,2012-01-18.5,88.3,-21.8,80,-29,97,-13,738,2012-01-23.1,5.1,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_12:00:00.txt
FS-2012-004,2012-01-18.5,73.4,-25.1,69,-27,77,-22,144,2012-01-24.3,6.3,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_12:00:00.txt
FS-2012-002,2012-01-18.5,59.9,19.8,58,11,60,28,1785,2012-01-25.6,7.6,1,50,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.18_12:00:00.txt
FS-2012-003,2012-01-19.0,126.3,6.9,121,1,133,14,505,2012-01-20.9,1.9,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_00:00:00.txt
FS-2012-005,2012-01-19.0,87.4,-21.6,80,-27,96,-13,638,2012-01-23.7,4.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_00:00:00.txt
FS-2012-004,2012-01-19.0,73.4,-25.1,69,-27,77,-22,134,2012-01-24.8,5.8,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_00:00:00.txt
FS-2012-002,2012-01-19.0,60.5,20.2,59,16,61,28,1244,2012-01-26.0,7.0,88,16,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_00:00:00.txt
FS-2012-003,2012-01-19.5,126.7,7.1,121,1,133,14,479,2012-01-20.3,1.3,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_12:00:00.txt
FS-2012-005,2012-01-19.5,87.7,-21.7,82,-27,96,-13,653,2012-01-23.2,4.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_12:00:00.txt
FS-2012-004,2012-01-19.5,73.9,-25.1,72,-26,74,-24,36,2012-01-24.3,5.3,14,109,220,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_12:00:00.txt
FS-2012-002,2012-01-19.5,60.1,20.4,59,16,61,28,1223,2012-01-25.6,6.6,88,16,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.19_12:00:00.txt
FS-2012-003,2012-01-20.0,126.2,6.8,121,2,133,14,377,2012-01-20.9,0.9,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_00:00:00.txt
FS-2012-005,2012-01-20.0,87.1,-21.7,82,-27,95,-13,465,2012-01-23.7,3.7,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_00:00:00.txt
FS-2012-004,2012-01-20.0,73.7,-25.3,1,-84,359,89,10,2012-01-24.8,4.8,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_00:00:00.txt
FS-2012-002,2012-01-20.0,62.4,22.0,51,13,74,30,929,2012-01-25.9,5.9,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_00:00:00.txt
FS-2012-003,2012-01-20.5,126.9,7.7,121,3,132,15,316,2012-01-20.4,0.4,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_12:00:00.txt
FS-2012-005,2012-01-20.5,87.3,-21.3,82,-27,95,-13,441,2012-01-23.2,3.2,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_12:00:00.txt
FS-2012-004,2012-01-20.5,73.7,-25.3,1,-84,359,89,9,2012-01-24.3,4.3,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_12:00:00.txt
FS-2012-002,2012-01-20.5,62.0,22.1,51,13,74,33,995,2012-01-25.5,5.5,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.20_12:00:00.txt
FS-2012-003,2012-01-21.0,123.5,5.5,122,4,124,6,67,2012-01-21.1,0.1,9,0,233,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.21_00:00:00.txt
FS-2012-005,2012-01-21.0,85.5,-18.6,82,-27,92,-13,152,2012-01-23.8,2.8,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.21_00:00:00.txt
FS-2012-002,2012-01-21.0,62.5,23.0,53,16,74,33,915,2012-01-25.9,4.9,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.21_00:00:00.txt
FS-2012-005,2012-01-21.5,84.9,-17.3,82,-20,87,-13,144,2012-01-23.4,2.4,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.21_12:00:00.txt
FS-2012-002,2012-01-21.5,62.0,23.0,53,16,74,33,969,2012-01-25.5,4.5,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.21_12:00:00.txt
FS-2012-005,2012-01-22.0,85.2,-17.3,82,-20,87,-13,94,2012-01-23.9,1.9,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.22_00:00:00.txt
FS-2012-002,2012-01-22.0,61.6,23.5,60,18,62,30,1047,2012-01-26.0,4.0,21,43,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.22_00:00:00.txt
FS-2012-005,2012-01-22.5,85.5,-17.2,82,-20,88,-13,118,2012-01-23.3,1.3,0,255,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.22_12:00:00.txt
