fs_name,ns_name,fs_timestamp,ns_timestamp,fs_cen_lon,ns_cen_lon,fs_cen_lat,ns_cen_lat,minX,minY,maxX,maxY,strength
FS-2014-023,12014,2014-03-18.5,2014-03-20,160.5,168.0,-11.4,-15,152,-16,169,-4,547
FS-2014-026,12027,2014-03-29.0,2014-04-01,18.1,15.0,8.8,13,8,4,28,17,917
FS-2014-033,12045,2014-04-18.5,2014-04-20,113.4,115.0,-23.7,-25,105,-27,119,-17,499
FS-2014-035,12056,2014-05-03.5,2014-05-07,250.5,258.0,4.8,5,241,-7,265,19,2465
FS-2014-046,12087,2014-06-08.5,2014-06-11,139.8,154.0,-17.2,-18,121,-23,162,-3,1618
FS-2014-047,12093,2014-06-14.0,2014-06-17,74.0,83.0,-14.4,-12,48,-22,92,-6,1425
FS-2014-049,12097,2014-06-21.5,2014-06-23,351.3,351.0,12.1,13,345,7,357,19,429
FS-2014-058,12121,2014-07-20.5,2014-07-23,315.8,322.0,6.7,7,307,-4,327,17,1324
FS-2014-060,12130,2014-07-26.0,2014-07-30,225.6,226.0,-9.0,-7,193,-23,255,10,3009
FS-2014-065,12150,2014-08-20.5,2014-08-23,251.9,267.0,-11.1,-13,220,-16,277,-1,2295
FS-2014-066,12152,2014-08-26.0,2014-08-29,198.7,205.0,-15.1,-18,191,-20,207,-1,431
FS-2014-070,12158,2014-09-03.0,2014-09-05,87.0,85.0,16.0,16,78,9,96,26,933
FS-2014-068,12155,2014-09-02.0,2014-09-05,90.8,109.0,-17.0,-20,55,-23,117,-4,2457
FS-2014-074,12172,2014-09-19.0,2014-09-21,237.4,242.0,-13.3,-9,225,-22,252,-6,1165
FS-2014-077,12179,2014-09-26.5,2014-09-29,140.4,140.0,-7.6,-11,130,-18,151,3,1749
FS-2014-080,12186,2014-10-06.0,2014-10-08,18.7,19.0,-16.4,-19,7,-25,28,-4,754
FS-2014-086,12192,2014-10-15.0,2014-10-18,243.2,252.0,-11.1,-13,15,-29,268,24,6122
FS-2014-092,12197,2014-10-22.0,2014-10-25,159.8,164.0,-11.9,-12,146,-22,175,-1,1085
