designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2018-001,2018-04-04.5,40.4,-5.9,35,-9,46,-1,505,2018-04-08.7,4.7,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.04_12:00:00.txt
FS-2018-001,2018-04-05.0,41.2,-6.3,35,-9,47,-1,250,2018-04-09.2,4.2,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.05_00:00:00.txt
FS-2018-001,2018-04-05.5,41.4,-5.8,35,-9,47,-1,319,2018-04-08.7,3.7,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.05_12:00:00.txt
FS-2018-001,2018-04-06.0,42.9,-6.3,37,-7,47,-3,136,2018-04-09.1,3.1,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.06_00:00:00.txt
FS-2018-001,2018-04-06.5,42.9,-5.3,37,-7,46,-1,156,2018-04-08.6,2.6,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.06_12:00:00.txt
FS-2018-001,2018-04-07.0,44.1,-4.0,43,-5,45,-3,30,2018-04-09.0,2.0,2,50,125,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.07_00:00:00.txt
FS-2018-001,2018-04-07.5,43.0,-5.6,39,-7,45,-1,118,2018-04-08.6,1.6,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.07_12:00:00.txt
FS-2018-001,2018-04-08.0,43.1,-7.3,41,-8,44,-6,7,2018-04-09.1,1.1,11,45,113,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.08_00:00:00.txt
FS-2018-001,2018-04-08.5,42.5,-6.4,39,-7,45,-4,19,2018-04-08.6,0.6,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.04.08_12:00:00.txt
FS-2018-002,2018-06-28.0,292.5,5.7,287,3,299,12,429,2018-07-08.0,10.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.06.28_00:00:00.txt
FS-2018-002,2018-06-28.5,292.6,6.1,287,3,299,12,387,2018-07-07.5,9.5,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.06.28_12:00:00.txt
FS-2018-002,2018-06-29.0,292.7,5.9,287,3,299,12,590,2018-07-08.0,9.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2018/AR_LIST_2018.06.29_00:00:00.txt
